#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.31034483E+001  0.53448276E+001 -0.30618817E+002
 -0.31034483E+001  0.55862069E+001 -0.30256739E+002
 -0.31034483E+001  0.58275862E+001 -0.29894665E+002
 -0.31034483E+001  0.60689655E+001 -0.29532593E+002
 -0.31034483E+001  0.63103448E+001 -0.29170522E+002
 -0.31034483E+001  0.65517241E+001 -0.28808452E+002
 -0.31034483E+001  0.67931034E+001 -0.28446383E+002
 -0.31034483E+001  0.70344828E+001 -0.28084314E+002
 -0.31034483E+001  0.72758621E+001 -0.27722245E+002
 -0.31034483E+001  0.75172414E+001 -0.27360175E+002
 -0.31034483E+001  0.77586207E+001 -0.26998106E+002
 -0.31034483E+001  0.80000000E+001 -0.26636037E+002
 
 -0.26896552E+001  0.10000000E+001 -0.40000000E+002
 -0.26896552E+001  0.12413793E+001 -0.36373961E+002
 -0.26896552E+001  0.14827586E+001 -0.35777662E+002
 -0.26896552E+001  0.17241379E+001 -0.35322480E+002
 -0.26896552E+001  0.19655172E+001 -0.34914817E+002
 -0.26896552E+001  0.22068966E+001 -0.34528604E+002
 -0.26896552E+001  0.24482759E+001 -0.34153269E+002
 -0.26896552E+001  0.26896552E+001 -0.33783769E+002
 -0.26896552E+001  0.29310345E+001 -0.33417494E+002
 -0.26896552E+001  0.31724138E+001 -0.33053031E+002
 -0.26896552E+001  0.34137931E+001 -0.32689594E+002
 -0.26896552E+001  0.36551724E+001 -0.32326743E+002
 -0.26896552E+001  0.38965517E+001 -0.31964226E+002
 -0.26896552E+001  0.41379310E+001 -0.31601900E+002
 -0.26896552E+001  0.43793103E+001 -0.31239684E+002
 -0.26896552E+001  0.46206897E+001 -0.30877530E+002
 -0.26896552E+001  0.48620690E+001 -0.30515413E+002
 -0.26896552E+001  0.51034483E+001 -0.30153316E+002
 -0.26896552E+001  0.53448276E+001 -0.29791231E+002
 -0.26896552E+001  0.55862069E+001 -0.29429153E+002
 -0.26896552E+001  0.58275862E+001 -0.29067079E+002
 -0.26896552E+001  0.60689655E+001 -0.28705007E+002
 -0.26896552E+001  0.63103448E+001 -0.28342936E+002
 -0.26896552E+001  0.65517241E+001 -0.27980866E+002
 -0.26896552E+001  0.67931034E+001 -0.27618797E+002
 -0.26896552E+001  0.70344828E+001 -0.27256727E+002
 -0.26896552E+001  0.72758621E+001 -0.26894658E+002
 -0.26896552E+001  0.75172414E+001 -0.26532589E+002
 -0.26896552E+001  0.77586207E+001 -0.26170520E+002
 -0.26896552E+001  0.80000000E+001 -0.25808451E+002
 
 -0.22758621E+001  0.10000000E+001 -0.40000000E+002
 -0.22758621E+001  0.12413793E+001 -0.35546375E+002
 -0.22758621E+001  0.14827586E+001 -0.34950076E+002
 -0.22758621E+001  0.17241379E+001 -0.34494894E+002
 -0.22758621E+001  0.19655172E+001 -0.34087231E+002
 -0.22758621E+001  0.22068966E+001 -0.33701018E+002
 -0.22758621E+001  0.24482759E+001 -0.33325682E+002
 -0.22758621E+001  0.26896552E+001 -0.32956183E+002
 -0.22758621E+001  0.29310345E+001 -0.32589908E+002
 -0.22758621E+001  0.31724138E+001 -0.32225445E+002
 -0.22758621E+001  0.34137931E+001 -0.31862008E+002
 -0.22758621E+001  0.36551724E+001 -0.31499157E+002
 -0.22758621E+001  0.38965517E+001 -0.31136640E+002
 -0.22758621E+001  0.41379310E+001 -0.30774314E+002
 -0.22758621E+001  0.43793103E+001 -0.30412097E+002
 -0.22758621E+001  0.46206897E+001 -0.30049944E+002
 -0.22758621E+001  0.48620690E+001 -0.29687827E+002
 -0.22758621E+001  0.51034483E+001 -0.29325730E+002
 -0.22758621E+001  0.53448276E+001 -0.28963645E+002
 -0.22758621E+001  0.55862069E+001 -0.28601567E+002
 -0.22758621E+001  0.58275862E+001 -0.28239493E+002
 -0.22758621E+001  0.60689655E+001 -0.27877421E+002
 -0.22758621E+001  0.63103448E+001 -0.27515350E+002
 -0.22758621E+001  0.65517241E+001 -0.27153280E+002
 -0.22758621E+001  0.67931034E+001 -0.26791211E+002
 -0.22758621E+001  0.70344828E+001 -0.26429141E+002
 -0.22758621E+001  0.72758621E+001 -0.26067072E+002
 -0.22758621E+001  0.75172414E+001 -0.25705003E+002
 -0.22758621E+001  0.77586207E+001 -0.25342934E+002
 -0.22758621E+001  0.80000000E+001 -0.24980865E+002
 
 -0.18620690E+001  0.10000000E+001 -0.40000000E+002
 -0.18620690E+001  0.12413793E+001 -0.34718789E+002
 -0.18620690E+001  0.14827586E+001 -0.34122490E+002
 -0.18620690E+001  0.17241379E+001 -0.33667308E+002
 -0.18620690E+001  0.19655172E+001 -0.33259645E+002
 -0.18620690E+001  0.22068966E+001 -0.32873432E+002
 -0.18620690E+001  0.24482759E+001 -0.32498096E+002
 -0.18620690E+001  0.26896552E+001 -0.32128596E+002
 -0.18620690E+001  0.29310345E+001 -0.31762322E+002
 -0.18620690E+001  0.31724138E+001 -0.31397858E+002
 -0.18620690E+001  0.34137931E+001 -0.31034422E+002
 -0.18620690E+001  0.36551724E+001 -0.30671571E+002
 -0.18620690E+001  0.38965517E+001 -0.30309053E+002
 -0.18620690E+001  0.41379310E+001 -0.29946728E+002
 -0.18620690E+001  0.43793103E+001 -0.29584511E+002
 -0.18620690E+001  0.46206897E+001 -0.29222358E+002
 -0.18620690E+001  0.48620690E+001 -0.28860240E+002
 -0.18620690E+001  0.51034483E+001 -0.28498144E+002
 -0.18620690E+001  0.53448276E+001 -0.28136059E+002
 -0.18620690E+001  0.55862069E+001 -0.27773981E+002
 -0.18620690E+001  0.58275862E+001 -0.27411907E+002
 -0.18620690E+001  0.60689655E+001 -0.27049835E+002
 -0.18620690E+001  0.63103448E+001 -0.26687764E+002
