#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             23             10            VXI      1859000.0   2.656121e+06   2.304807e+02              3
             23             11           VXII      2062000.0   2.946165e+06   2.556488e+02              3
             23             12          VXIII      2485000.0   3.550543e+06   3.080928e+02              3
             23             13           VXIV      2712250.0   3.875236e+06   3.362675e+02              3
             23             14            VXV      7227000.0   1.032587e+07   8.960107e+02              2
             23             15           VXVI      7870000.0   1.124458e+07   9.757305e+02              2
             23             16          VXVII      8549000.0   1.221473e+07   1.059914e+03              2
             23             17         VXVIII      9420000.0   1.345920e+07   1.167901e+03              2
             23             18           VXIX     10160000.0   1.451651e+07   1.259647e+03              2
             23             19            VXX     10930000.0   1.561667e+07   1.355112e+03              2
             23             20           VXXI     11990000.0   1.713119e+07   1.486532e+03              2
             23             21          VXXII     12660000.0   1.808848e+07   1.569599e+03              2
             23             22         VXXIII     55259000.0   7.895351e+07   6.851066e+03              1
             23             23          VXXIV     58443900.0   8.350406e+07   7.245933e+03              1
             24              1           CrII        54575.6   7.797707e+04   6.766337e+00              4
             24              2          CrIII       132966.0   1.899805e+05   1.648526e+01              3
             24              3           CrIV       249700.0   3.567689e+05   3.095806e+01              3
             24              4            CrV       396500.0   5.665152e+05   4.915847e+01              3
             24              5           CrVI       560200.0   8.004082e+05   6.945416e+01              3
             24              6          CrVII       731020.0   1.044474e+06   9.063259e+01              3
             24              7         CrVIII      1291900.0   1.845854e+06   1.601711e+02              3
             24              8           CrIX      1490000.0   2.128897e+06   1.847317e+02              3
             24              9            CrX      1688000.0   2.411798e+06   2.092799e+02              3
             24             10           CrXI      1971000.0   2.816145e+06   2.443666e+02              3
             24             11          CrXII      2184000.0   3.120477e+06   2.707745e+02              3
             24             12         CrXIII      2404000.0   3.434811e+06   2.980503e+02              3
             24             13          CrXIV      2862000.0   4.089197e+06   3.548336e+02              3
             24             14           CrXV      3098520.0   4.427134e+06   3.841576e+02              3
             24             15          CrXVI      8151000.0   1.164607e+07   1.010569e+03              2
             24             16         CrXVII      8850000.0   1.264479e+07   1.097232e+03              2
             24             17        CrXVIII      9560000.0   1.365923e+07   1.185258e+03              2
             24             18          CrXIX     10480000.0   1.497372e+07   1.299321e+03              2
             24             19           CrXX     11260000.0   1.608818e+07   1.396026e+03              2
             24             20          CrXXI     12070000.0   1.724550e+07   1.496451e+03              2
             24             21         CrXXII     13180000.0   1.883145e+07   1.634070e+03              2
             24             22        CrXXIII     13882000.0   1.983446e+07   1.721104e+03              2
             24             23         CrXXIV     60344000.0   8.621890e+07   7.481509e+03              1
             24             24          CrXXV     63675900.0   9.097949e+07   7.894602e+03              1
             25              1           MnII        59959.4   8.566939e+04   7.433826e+00              4
             25              2          MnIII       126145.0   1.802347e+05   1.563958e+01              4
             25              3           MnIV       271550.0   3.879879e+05   3.366704e+01              3
             25              4            MnV       413000.0   5.900903e+05   5.120415e+01              3
             25              5           MnVI       584000.0   8.344134e+05   7.240490e+01              3
             25              6          MnVII       771100.0   1.101740e+06   9.560175e+01              3
             25              7         MnVIII       961440.0   1.373696e+06   1.192003e+02              3
             25              8           MnIX      1569000.0   2.241772e+06   1.945262e+02              3
             25              9            MnX      1789000.0   2.556105e+06   2.218020e+02              3
             25             10           MnXI      2003000.0   2.861866e+06   2.483339e+02              3
             25             11          MnXII      2307000.0   3.296219e+06   2.860242e+02              3
             25             12         MnXIII      2536000.0   3.623411e+06   3.144158e+02              3
             25             13          MnXIV      2771000.0   3.959177e+06   3.435514e+02              3
             25             14           MnXV      3250000.0   4.643568e+06   4.029383e+02              3
             25             15          MnXVI      3509820.0   5.014796e+06   4.351510e+02              3
             25             16         MnXVII      9152000.0   1.307629e+07   1.134674e+03              2
             25             17        MnXVIII      9872000.0   1.410501e+07   1.223940e+03              2
