#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), H2 rate (1/s)
          30 ,          30
 -0.62068966E+000  0.53448276E+001 -0.20513736E+002
 -0.62068966E+000  0.55862069E+001 -0.20875716E+002
 -0.62068966E+000  0.58275862E+001 -0.21237737E+002
 -0.62068966E+000  0.60689655E+001 -0.21599787E+002
 -0.62068966E+000  0.63103448E+001 -0.21961873E+002
 -0.62068966E+000  0.65517241E+001 -0.22324048E+002
 -0.62068966E+000  0.67931034E+001 -0.22686456E+002
 -0.62068966E+000  0.70344828E+001 -0.23049421E+002
 -0.62068966E+000  0.72758621E+001 -0.23413553E+002
 -0.62068966E+000  0.75172414E+001 -0.23779861E+002
 -0.62068966E+000  0.77586207E+001 -0.24149786E+002
 -0.62068966E+000  0.80000000E+001 -0.24525114E+002
 
 -0.20689655E+000  0.10000000E+001 -0.16703456E+002
 -0.20689655E+000  0.12413793E+001 -0.16599565E+002
 -0.20689655E+000  0.14827586E+001 -0.16504730E+002
 -0.20689655E+000  0.17241379E+001 -0.16423512E+002
 -0.20689655E+000  0.19655172E+001 -0.16363568E+002
 -0.20689655E+000  0.22068966E+001 -0.16338070E+002
 -0.20689655E+000  0.24482759E+001 -0.16367369E+002
 -0.20689655E+000  0.26896552E+001 -0.16473961E+002
 -0.20689655E+000  0.29310345E+001 -0.16667154E+002
 -0.20689655E+000  0.31724138E+001 -0.16933258E+002
 -0.20689655E+000  0.34137931E+001 -0.17246705E+002
